model,eval_set,MAE_log,RMSE_log,R2_log,MAE_price,RMSE_price,R2_price,alpha,scaling,tune_train_rows,tune_dev_rows,n_neighbors,weights,max_depth,min_samples_leaf,n_estimators,hidden_layer_sizes,learning_rate_init
ridge_regression,dev_tune,0.09404420815237037,0.1218076162712085,0.9379445590992984,1682.360773902164,2438.2476516867073,0.9208762835119417,0.1,standard,25000,6000,,,,,,,
ridge_regression,dev_tune,0.09412085475451709,0.12191901482867137,0.9378310021989333,1683.1001684663997,2440.4332595790725,0.920734369357696,1.0,standard,25000,6000,,,,,,,
ridge_regression,dev_tune,0.09530322744752967,0.12330467781053514,0.9364098158745617,1706.2314336573947,2484.2351123365193,0.9178634531294618,10.0,standard,25000,6000,,,,,,,
ridge_regression,dev_tune,0.10623016379613322,0.1362980381492663,0.922301938002781,1875.9652960144,2714.412438084714,0.9019375538870533,100.0,standard,25000,6000,,,,,,,
knn_regression,dev_tune,0.07765071603874517,0.1046382503246916,0.9542056482938994,1378.6588994760177,2097.9218824980358,0.9414226561842045,,standard,25000,6000,10.0,distance,,,,,
knn_regression,dev_tune,0.07820546162600638,0.10547809321403931,0.9534675930655223,1383.3463852988702,2098.095871699925,0.94141293966615,,standard,25000,6000,5.0,distance,,,,,
knn_regression,dev_tune,0.07894868574580541,0.10653957961362276,0.9525263160060056,1403.2588793960301,2131.4214288859007,0.9395369982399018,,standard,25000,6000,5.0,uniform,,,,,
knn_regression,dev_tune,0.07906056397342157,0.10677965722228411,0.9523121193655697,1407.4281313853248,2148.213537402125,0.9385805466172988,,standard,25000,6000,20.0,distance,,,,,
knn_regression,dev_tune,0.0799882688369083,0.10762269193595674,0.9515561469055973,1431.139952298885,2178.8586627163127,0.9368157015221822,,standard,25000,6000,10.0,uniform,,,,,
knn_regression,dev_tune,0.08377207368510774,0.11257384880557601,0.9469963221142317,1508.6983994779887,2289.445666131298,0.9302391551981672,,standard,25000,6000,20.0,uniform,,,,,
decision_tree,dev_tune,0.09191562399840132,0.12560175689202024,0.9340184664058372,1607.5052048397204,2405.062249731536,0.9230154293291833,,none,25000,6000,,,,10.0,,,
