model,eval_set,MAE_log,RMSE_log,R2_log,MAE_price,RMSE_price,R2_price,scaling,note
ridge_regression,dev,0.33436542639216366,0.4048212047273032,0.32904977475869146,5732.582663994811,7597.091509780844,0.2393200678273354,none,
knn_regression,dev_tune,0.30080693465864783,0.3765277909260266,0.40704047514779007,5081.008789736528,6889.903574413712,0.3682033239043244,none,KNN scaling comparison uses tuning subset for runtime.
ridge_regression,dev,0.0932114788118716,0.12287870386546454,0.9381817024589331,1671.5611922048959,2444.7641667696917,0.9212263105469009,standard,
knn_regression,dev_tune,0.07765071603874517,0.1046382503246916,0.9542056482938994,1378.6588994760177,2097.9218824980358,0.9414226561842045,standard,KNN scaling comparison uses tuning subset for runtime.
ridge_regression,dev,0.09313289591829699,0.12276097328041301,0.9383001024357024,1669.8645382549817,2442.113618499741,0.9213970266306633,minmax,
knn_regression,dev_tune,0.0887045343523536,0.1294930719611823,0.9298667371175364,1552.8638641670902,2415.63857227539,0.922336857360374,minmax,KNN scaling comparison uses tuning subset for runtime.
