car_age,mileage,mileage_per_year,tax,mpg,engineSize,transmission_enc,is_luxury,brand_mean_price,model_mean_price,fuel_Diesel,fuel_Electric,fuel_Hybrid,fuel_Petrol,price,log_price,brand,model,transmission,fuelType,year
6,16346.0,2335.1428571428573,145.0,61.7,1.7,0,0,12722.948264984227,15758.41973375098,True,False,False,False,13799.0,9.532423871145296,Hyundai, Tucson,Manual,Diesel,2018
11,47246.0,3937.1666666666665,125.0,47.1,1.4,0,0,12722.948264984227,11707.42803030303,False,False,False,True,6000.0,8.699681400989514,Hyundai, I30,Manual,Petrol,2013
7,10726.0,1340.75,145.0,61.7,1.7,0,0,12722.948264984227,15758.41973375098,True,False,False,False,13000.0,9.472781556562168,Hyundai, Tucson,Manual,Diesel,2017
6,40735.0,5819.285714285715,145.0,78.5,1.6,2,0,12722.948264984227,17889.525547445257,False,False,True,False,14200.0,9.561067663645012,Hyundai, Ioniq,Automatic,Hybrid,2018
7,7809.0,976.125,145.0,43.5,1.6,2,0,12722.948264984227,8822.178217821782,False,False,False,True,9399.0,9.148464968258095,Hyundai, IX20,Automatic,Petrol,2017
5,21457.0,3576.1666666666665,145.0,31.7,2.5,0,0,12722.948264984227,16659.076923076922,True,False,False,False,16199.0,9.692766521220475,Hyundai, I800,Manual,Diesel,2019
8,69894.0,7766.0,145.0,61.7,1.7,0,0,12722.948264984227,15758.41973375098,True,False,False,False,11199.0,9.323669057283185,Hyundai, Tucson,Manual,Diesel,2016
11,55998.0,4666.5,150.0,46.3,2.2,0,0,12722.948264984227,24226.38429752066,True,False,False,False,10149.0,9.225228984469933,Hyundai, Santa Fe,Manual,Diesel,2013
7,20664.0,2583.0,145.0,47.9,1.2,2,0,12722.948264984227,7635.6417769376185,False,False,False,True,7999.0,8.987196820661973,Hyundai, I10,Automatic,Petrol,2017
8,29448.0,3272.0,145.0,41.5,2.2,2,0,12722.948264984227,24226.38429752066,True,False,False,False,16499.0,9.711115659888671,Hyundai, Santa Fe,Automatic,Diesel,2016
11,30536.0,2544.6666666666665,125.0,47.1,1.4,2,0,12722.948264984227,8836.843942505133,False,False,False,True,6999.0,8.85366542803745,Hyundai, I20,Automatic,Petrol,2013
10,45495.0,4135.909090909091,125.0,57.6,1.2,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,5499.0,8.612503371220562,Hyundai, I10,Manual,Petrol,2014
7,30490.0,3811.25,145.0,60.1,1.0,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,6500.0,8.77971129020447,Hyundai, I10,Manual,Petrol,2017
6,31217.0,4459.571428571428,145.0,60.1,1.0,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,6699.0,8.809862805379057,Hyundai, I10,Manual,Petrol,2018
7,16807.0,2100.875,145.0,60.1,1.0,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,7225.0,8.885440911707585,Hyundai, I10,Manual,Petrol,2017
7,58250.0,7281.25,145.0,60.1,1.0,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,6150.0,8.724369949208368,Hyundai, I10,Manual,Petrol,2017
9,42250.0,4225.0,145.0,44.1,1.6,0,0,12722.948264984227,8336.25641025641,False,False,False,True,7950.0,8.981052985901483,Hyundai, IX35,Manual,Petrol,2015
6,33387.0,4769.571428571428,145.0,31.7,2.5,0,0,12722.948264984227,16659.076923076922,True,False,False,False,15800.0,9.6678285081515,Hyundai, I800,Manual,Diesel,2018
8,23764.0,2640.4444444444443,145.0,42.8,2.2,2,0,12722.948264984227,24226.38429752066,True,False,False,False,18500.0,9.825580063659602,Hyundai, Santa Fe,Automatic,Diesel,2016
7,23659.0,2957.375,145.0,78.5,1.6,2,0,12722.948264984227,17889.525547445257,False,False,True,False,16599.0,9.717157974344635,Hyundai, Ioniq,Automatic,Hybrid,2017
10,33013.0,3001.181818181818,125.0,57.6,1.2,0,0,12722.948264984227,8836.843942505133,False,False,False,True,5770.0,8.660600654710967,Hyundai, I20,Manual,Petrol,2014
7,8613.0,1076.625,145.0,65.7,1.7,0,0,12722.948264984227,10664.733333333334,True,False,False,False,13751.0,9.528939547062684,Hyundai, I40,Manual,Diesel,2017
6,3978.0,568.2857142857143,145.0,34.9,1.6,0,0,12722.948264984227,15758.41973375098,False,False,False,True,15495.0,9.648337205086833,Hyundai, Tucson,Manual,Petrol,2018
11,49252.0,4104.333333333333,125.0,74.3,1.1,0,0,12722.948264984227,8836.843942505133,True,False,False,False,4670.0,8.449128460502108,Hyundai, I20,Manual,Diesel,2013
7,12845.0,1605.625,145.0,44.8,1.6,0,0,12722.948264984227,15758.41973375098,False,False,False,True,12249.0,9.413281215972873,Hyundai, Tucson,Manual,Petrol,2017
7,20462.0,2557.75,145.0,61.7,1.7,0,0,12722.948264984227,15758.41973375098,True,False,False,False,13699.0,9.525151111816216,Hyundai, Tucson,Manual,Diesel,2017
9,56577.0,5657.7,145.0,65.7,1.7,0,0,12722.948264984227,10664.733333333334,True,False,False,False,7357.0,8.90354343566472,Hyundai, I40,Manual,Diesel,2015
8,18006.0,2000.6666666666667,145.0,61.7,1.7,0,0,12722.948264984227,15758.41973375098,True,False,False,False,11349.0,9.336973022909548,Hyundai, Tucson,Manual,Diesel,2016
5,10668.0,1778.0,145.0,46.3,1.2,0,0,12722.948264984227,8836.843942505133,False,False,False,True,10699.0,9.277999020449997,Hyundai, I20,Manual,Petrol,2019
7,34258.0,4282.25,145.0,74.3,1.6,0,0,12722.948264984227,11707.42803030303,True,False,False,False,9499.0,9.159047077588632,Hyundai, I30,Manual,Diesel,2017
5,9000.0,1500.0,145.0,45.6,1.0,0,0,12722.948264984227,11707.42803030303,False,False,False,True,9950.0,9.205428327615163,Hyundai, I30,Manual,Petrol,2019
8,42850.0,4761.111111111111,145.0,61.7,1.7,0,0,12722.948264984227,15758.41973375098,True,False,False,False,11499.0,9.350102314351341,Hyundai, Tucson,Manual,Diesel,2016
11,65900.0,5491.666666666667,150.0,48.7,1.7,0,0,12722.948264984227,8336.25641025641,True,False,False,False,7990.0,8.986071187374463,Hyundai, IX35,Manual,Diesel,2013
10,63100.0,5736.363636363636,125.0,57.6,1.2,0,0,12722.948264984227,8836.843942505133,False,False,False,True,4990.0,8.515391569469609,Hyundai, I20,Manual,Petrol,2014
7,26671.0,3333.875,145.0,44.8,1.6,0,0,12722.948264984227,15758.41973375098,False,False,False,True,12991.0,9.472089062401459,Hyundai, Tucson,Manual,Petrol,2017
7,39628.0,4953.5,145.0,58.9,1.2,0,0,12722.948264984227,8836.843942505133,False,False,False,True,7459.0,8.917310693197807,Hyundai, I20,Manual,Petrol,2017
6,33616.0,4802.285714285715,145.0,51.4,1.4,2,0,12722.948264984227,11707.42803030303,False,False,False,True,10399.0,9.249561085129464,Hyundai, I30,Automatic,Petrol,2018
9,46761.0,4676.1,145.0,72.4,1.6,0,0,12722.948264984227,11707.42803030303,True,False,False,False,8975.0,9.102309627762478,Hyundai, I30,Manual,Diesel,2015
8,28793.0,3199.222222222222,145.0,61.7,1.7,0,0,12722.948264984227,15758.41973375098,True,False,False,False,12789.0,9.456418894572888,Hyundai, Tucson,Manual,Diesel,2016
6,30727.0,4389.571428571428,145.0,31.7,2.5,0,0,12722.948264984227,16659.076923076922,True,False,False,False,15489.0,9.647949933410914,Hyundai, I800,Manual,Diesel,2018
6,37620.0,5374.285714285715,145.0,37.7,2.5,0,0,12722.948264984227,16659.076923076922,True,False,False,False,14000.0,9.546884034617925,Hyundai, I800,Manual,Diesel,2018
6,28050.0,4007.1428571428573,145.0,58.9,1.2,0,0,12722.948264984227,8836.843942505133,False,False,False,True,8000.0,8.987321812850125,Hyundai, I20,Manual,Petrol,2018
6,11518.0,1645.4285714285713,145.0,60.1,1.0,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,7991.0,8.98619632032839,Hyundai, I10,Manual,Petrol,2018
8,19947.0,2216.3333333333335,125.0,55.4,1.2,0,0,12722.948264984227,8836.843942505133,False,False,False,True,6990.0,8.852378886511985,Hyundai, I20,Manual,Petrol,2016
10,63458.0,5768.909090909091,150.0,62.8,1.7,0,0,12722.948264984227,10664.733333333334,True,False,False,False,6895.0,8.83869681234353,Hyundai, I40,Manual,Diesel,2014
8,18000.0,2000.0,125.0,47.9,1.2,2,0,12722.948264984227,7635.6417769376185,False,False,False,True,8495.0,9.04735074348172,Hyundai, I10,Automatic,Petrol,2016
9,56000.0,5600.0,125.0,60.1,1.0,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,4999.0,8.517193191416238,Hyundai, I10,Manual,Petrol,2015
6,37530.0,5361.428571428572,145.0,37.7,2.5,0,0,12722.948264984227,16659.076923076922,True,False,False,False,14795.0,9.602112152952344,Hyundai, I800,Manual,Diesel,2018
7,29694.0,3711.75,145.0,57.7,1.2,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,6988.0,8.85209276347713,Hyundai, I10,Manual,Petrol,2017
15,105863.0,6616.4375,200.0,45.6,1.6,0,0,12722.948264984227,11707.42803030303,False,False,False,True,2699.0,7.90100705199242,Hyundai, I30,Manual,Petrol,2009
16,67000.0,3941.176470588235,160.0,51.4,1.1,0,0,12722.948264984227,1927.5,False,False,False,True,1695.0,7.4360278163518485,Hyundai, Getz,Manual,Petrol,2008
11,90000.0,7500.0,150.0,39.2,2.0,2,0,12722.948264984227,8336.25641025641,True,False,False,False,7995.0,8.98669669562029,Hyundai, IX35,Automatic,Diesel,2013
7,3000.0,375.0,145.0,60.1,1.0,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,6995.0,8.853093836138493,Hyundai, I10,Manual,Petrol,2017
12,24000.0,1846.1538461538462,125.0,61.4,1.2,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,4295.0,8.3654396361887,Hyundai, I10,Manual,Petrol,2012
6,55190.0,7884.285714285715,145.0,78.5,1.6,2,0,12722.948264984227,17889.525547445257,False,False,True,False,13295.0,9.49521851709523,Hyundai, Ioniq,Automatic,Hybrid,2018
9,43450.0,4345.0,150.0,41.5,2.2,2,0,12722.948264984227,24226.38429752066,True,False,False,False,14000.0,9.546884034617925,Hyundai, Santa Fe,Automatic,Diesel,2015
14,64081.0,4272.066666666667,125.0,57.6,1.2,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,3491.0,8.158229916959494,Hyundai, I10,Manual,Petrol,2010
12,67365.0,5181.923076923077,125.0,61.4,1.2,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,3491.0,8.158229916959494,Hyundai, I10,Manual,Petrol,2012
7,9748.0,1218.5,145.0,57.7,1.2,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,8499.0,9.047821442478408,Hyundai, I10,Manual,Petrol,2017
11,37438.0,3119.8333333333335,150.0,51.4,1.6,2,0,12722.948264984227,11707.42803030303,True,False,False,False,7199.0,8.881836305004146,Hyundai, I30,Automatic,Diesel,2013
7,22000.0,2750.0,145.0,46.3,2.0,2,0,12722.948264984227,15758.41973375098,True,False,False,False,14500.0,9.581972891547895,Hyundai, Tucson,Automatic,Diesel,2017
7,18543.0,2317.875,145.0,42.8,2.2,2,0,12722.948264984227,24226.38429752066,True,False,False,False,19500.0,9.87822102528824,Hyundai, Santa Fe,Automatic,Diesel,2017
12,45566.0,3505.076923076923,125.0,45.6,1.4,0,0,12722.948264984227,8822.178217821782,False,False,False,True,5790.0,8.66406026722579,Hyundai, IX20,Manual,Petrol,2012
9,54000.0,5400.0,145.0,65.7,1.7,0,0,12722.948264984227,10664.733333333334,True,False,False,False,6990.0,8.852378886511985,Hyundai, I40,Manual,Diesel,2015
10,50000.0,4545.454545454545,150.0,53.3,1.7,0,0,12722.948264984227,8336.25641025641,True,False,False,False,8275.0,9.021115038865434,Hyundai, IX35,Manual,Diesel,2014
8,34690.0,3854.4444444444443,125.0,58.9,1.2,0,0,12722.948264984227,8836.843942505133,False,False,False,True,7849.0,8.968268810776454,Hyundai, I20,Manual,Petrol,2016
7,34959.0,4369.875,145.0,74.3,1.6,0,0,12722.948264984227,11707.42803030303,True,False,False,False,9499.0,9.159047077588632,Hyundai, I30,Manual,Diesel,2017
11,45016.0,3751.3333333333335,125.0,45.6,1.4,0,0,12722.948264984227,8822.178217821782,False,False,False,True,5800.0,8.665785595466064,Hyundai, IX20,Manual,Petrol,2013
7,37710.0,4713.75,145.0,74.3,1.6,0,0,12722.948264984227,11707.42803030303,True,False,False,False,9499.0,9.159047077588632,Hyundai, I30,Manual,Diesel,2017
7,35155.0,4394.375,145.0,74.3,1.6,0,0,12722.948264984227,11707.42803030303,True,False,False,False,9499.0,9.159047077588632,Hyundai, I30,Manual,Diesel,2017
9,45163.0,4516.3,145.0,53.3,1.7,0,0,12722.948264984227,8336.25641025641,True,False,False,False,8795.0,9.082052351674651,Hyundai, IX35,Manual,Diesel,2015
13,75617.0,5401.214285714285,160.0,48.7,1.7,0,0,12722.948264984227,8336.25641025641,True,False,False,False,5490.0,8.610865667278873,Hyundai, IX35,Manual,Diesel,2011
10,90000.0,8181.818181818182,150.0,53.3,1.7,0,0,12722.948264984227,8336.25641025641,True,False,False,False,7475.0,8.919453168575453,Hyundai, IX35,Manual,Diesel,2014
17,90631.0,5035.055555555556,200.0,35.3,2.0,0,0,12722.948264984227,15758.41973375098,False,False,False,True,2495.0,7.822444729489319,Hyundai, Tucson,Manual,Petrol,2007
14,99000.0,6600.0,160.0,62.8,1.6,0,0,12722.948264984227,11707.42803030303,True,False,False,False,2495.0,7.822444729489319,Hyundai, I30,Manual,Diesel,2010
14,78100.0,5206.666666666667,125.0,54.3,1.2,0,0,12722.948264984227,8836.843942505133,False,False,False,True,1995.0,7.59890045687141,Hyundai, I20,Manual,Petrol,2010
14,49000.0,3266.6666666666665,125.0,50.4,1.4,0,0,12722.948264984227,8836.843942505133,False,False,False,True,3795.0,8.241703159729818,Hyundai, I20,Manual,Petrol,2010
8,32361.0,3595.6666666666665,145.0,78.4,1.6,0,0,12722.948264984227,11707.42803030303,True,False,False,False,8495.0,9.04735074348172,Hyundai, I30,Manual,Diesel,2016
13,78000.0,5571.428571428572,125.0,61.4,1.2,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,2495.0,7.822444729489319,Hyundai, I10,Manual,Petrol,2011
8,53000.0,5888.888888888889,145.0,33.6,2.5,2,0,12722.948264984227,16659.076923076922,True,False,False,False,11995.0,9.392328539868899,Hyundai, I800,Automatic,Diesel,2016
8,48655.0,5406.111111111111,145.0,78.4,1.6,0,0,12722.948264984227,11707.42803030303,True,False,False,False,8199.0,9.011889433252344,Hyundai, I30,Manual,Diesel,2016
13,79000.0,5642.857142857143,160.0,41.5,1.6,0,0,12722.948264984227,8336.25641025641,False,False,False,True,5475.0,8.60813018640834,Hyundai, IX35,Manual,Petrol,2011
13,60000.0,4285.714285714285,160.0,48.7,1.7,0,0,12722.948264984227,8336.25641025641,True,False,False,False,6975.0,8.850230965588816,Hyundai, IX35,Manual,Diesel,2011
8,38572.0,4285.777777777777,145.0,67.3,1.7,0,0,12722.948264984227,10664.733333333334,True,False,False,False,8850.0,9.088285725968877,Hyundai, I40,Manual,Diesel,2016
14,72570.0,4838.0,200.0,41.5,2.2,0,0,12722.948264984227,24226.38429752066,True,False,False,False,6495.0,8.778941881841513,Hyundai, Santa Fe,Manual,Diesel,2010
11,37000.0,3083.3333333333335,150.0,39.2,2.0,2,0,12722.948264984227,8336.25641025641,True,False,False,False,9995.0,9.209940291954844,Hyundai, IX35,Automatic,Diesel,2013
7,32992.0,4124.0,145.0,74.3,1.6,0,0,12722.948264984227,11707.42803030303,True,False,False,False,9499.0,9.159047077588632,Hyundai, I30,Manual,Diesel,2017
7,35138.0,4392.25,145.0,74.3,1.6,0,0,12722.948264984227,11707.42803030303,True,False,False,False,9499.0,9.159047077588632,Hyundai, I30,Manual,Diesel,2017
6,14495.0,2070.714285714286,145.0,57.6,1.7,2,0,12722.948264984227,15758.41973375098,True,False,False,False,19490.0,9.877708099548641,Hyundai, Tucson,Automatic,Diesel,2018
14,80000.0,5333.333333333333,125.0,46.3,1.4,0,0,12722.948264984227,11707.42803030303,False,False,False,True,3495.0,8.159374736775426,Hyundai, I30,Manual,Petrol,2010
10,12287.0,1117.0,125.0,57.6,1.2,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,6275.0,8.744488113852924,Hyundai, I10,Manual,Petrol,2014
6,30038.0,4291.142857142857,145.0,31.7,2.5,2,0,12722.948264984227,16659.076923076922,True,False,False,False,15999.0,9.680344001221918,Hyundai, I800,Automatic,Diesel,2018
7,13298.0,1662.25,145.0,44.8,1.6,0,0,12722.948264984227,15758.41973375098,False,False,False,True,13599.0,9.517825071724143,Hyundai, Tucson,Manual,Petrol,2017
9,28040.0,2804.0,145.0,53.3,1.7,0,0,12722.948264984227,8336.25641025641,True,False,False,False,9099.0,9.116029692504942,Hyundai, IX35,Manual,Diesel,2015
8,21359.0,2373.222222222222,125.0,57.6,1.2,0,0,12722.948264984227,7635.6417769376185,False,False,False,True,5799.0,8.66561319653451,Hyundai, I10,Manual,Petrol,2016
7,44013.0,5501.625,145.0,43.5,2.0,2,0,12722.948264984227,15758.41973375098,True,False,False,False,16995.0,9.740733301234702,Hyundai, Tucson,Automatic,Diesel,2017
6,12933.0,1847.5714285714287,145.0,57.7,1.0,0,0,12722.948264984227,11707.42803030303,False,False,False,True,8825.0,9.085457189829492,Hyundai, I30,Manual,Petrol,2018
8,32184.0,3576.0,145.0,57.6,1.7,2,0,12722.948264984227,15758.41973375098,True,False,False,False,12500.0,9.433563920090563,Hyundai, Tucson,Automatic,Diesel,2016
